"","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"874","25kPa","E2","09","DMSO","08","50/50","Hyaluronic AcidOsteopontin","HAOPN",25.8888888888889,34.2993359184175,2.47548989928941,1.52395238091984,0.12500800962972,0.0278941578059626,0.146155094391002,0.0295623890744411,0.086230005686867,0.0462267342582498,0.0952340187325052,0.0524732599518946,NA,NA,0.109493220829643,0.00976743958528758
"875","25kPa","E2","09","DMSO","09","100","Collagen I","C1",518,111.054040899015,6.22992455407064,0.220710671380012,0.0788102364370493,0.0229065998149463,0.0955932966022828,0.0255843946847012,0.0532243724341022,0.0363716283917418,0.0571634822155806,0.0412855046274864,NA,NA,0.0969451610053173,0.0080635196752913
"876","25kPa","E2","09","DMSO","10","25/75","Tenascin COsteopontin","TCOPN",130.888888888889,65.058093697522,4.7059776414284,0.439265840073762,0.123167837930216,0.0371476047747925,0.144517479995487,0.0379594086411149,0.0818530435672536,0.0508461785727831,0.0903870520966216,0.0576394343261914,NA,NA,0.109825719578772,0.00981330598448118
"877","25kPa","E2","09","DMSO","11","75/25","DecorinFibronectin","DNFN",436.444444444444,75.1199041532935,5.98957797620388,0.148216253000194,0.0783366331644895,0.025364217095485,0.0943751382782245,0.0281521337149303,0.0502383794754185,0.0296817760602446,0.0536944013111228,0.0342770576207641,NA,NA,0.10517620936752,0.0092494276804291
"878","25kPa","E2","09","DMSO","12","100","Decorin","DN",60,84.7283240061367,3.22362602939225,1.27483095030504,0.109564806200613,0.057137039527987,0.128761985395522,0.0591221556454853,0.0578959283678058,0.0345913010579791,0.0631777248228739,0.0395256220306144,NA,NA,0.12382153808116,0.0152626979173155
"879","25kPa","E2","10","10 uM","02","50/50","Collagen IOsteopontin","C1OPN",8.94444444444444,5.97680702568037,1.70955254008698,0.661985116140744,0.0999322856796908,NA,0.118748502265773,NA,0.0557962201031343,NA,0.0604532994556217,NA,0.0938692273822295,NA,0.0804594490773194,NA
"880","25kPa","E2","10","10 uM","03","50/50","Collagen ITenascin C","C1TC",5.5,1.92930615046504,1.25218113601597,0.60183145232297,0.108634337545482,NA,0.126639796408355,NA,0.0522084084698709,NA,0.0567036365861425,NA,0.0745027328290373,NA,0.0668745017562592,NA
"881","25kPa","E2","10","10 uM","04","75/25","Hyaluronic AcidDecorin","HADN",71.7777777777778,21.5664348261624,4.21410069399752,0.37835683588914,0.128010395107143,0.0356301751446822,0.148884956032625,0.0362797107631374,0.0547686016713103,0.0265523775272743,0.0592524942598844,0.0307343424087066,0.0687584145097786,0.0204016357103754,0.0684026418859557,0.0100804840531152
"882","25kPa","E2","10","10 uM","05","75/25","Collagen IDecorin","C1DN",35.4444444444444,10.7134391199921,3.16819497507903,0.360395553797211,0.138138220825375,0.048046830295505,0.158856417038049,0.0481157908713992,0.0640159393104882,0.041985193379545,0.0698974865168504,0.0480480433048872,0.0705984272657434,0.0272293309094234,0.0686822906117972,0.0165580200767521
"883","25kPa","E2","10","10 uM","06","75/25","LamininGalectin 3","LNG3",12.0555555555556,11.8298116825436,1.88877628089869,1.02893096958662,0.151096745829447,0.052886964286545,0.170898338056853,0.0533451887118191,0.0684608417383211,0.0320618570278463,0.0752751164567166,0.0368692069719076,0.0960386928234195,0.03028375010434,0.0725724613878569,0.0217115437771327
